date,delay,distance,origin,destination
01032211,-14,810,IAD,TPA
01031002,2,810,IAD,TPA
01030804,14,515,IND,BWI
01030906,6,290,PHL,MHT
01032132,-3,290,PHL,MHT
01031353,3,290,PHL,MHT
01031827,12,951,PHL,PBI
01031107,-13,951,PHL,PBI
01032006,1,2075,PHL,PHX
01031403,-22,2075,PHL,PHX
01031834,44,267,PHL,PIT
01032027,-13,267,PHL,PIT
01031532,62,267,PHL,PIT
01032248,8,267,PHL,PIT
01031210,5,267,PHL,PIT
01030716,-14,267,PHL,PIT
01031043,8,267,PHL,PIT
01032135,35,238,PHL,PVD
01031347,32,238,PHL,PVD
01030806,1,238,PHL,PVD
01031545,25,238,PHL,PVD
01031830,5,238,PHL,PVD
01032036,36,336,PHL,RDU
01030744,-16,336,PHL,RDU
02101421,-4,1506,TPA,DEN
02101720,-10,197,TPA,FLL
02101336,-9,197,TPA,FLL
02101833,-7,197,TPA,FLL
02102005,-5,197,TPA,FLL
02101141,-9,197,TPA,FLL
02102256,-14,197,TPA,FLL
02101516,11,197,TPA,FLL
02101150,-15,781,TPA,HOU
02101708,3,781,TPA,HOU
02102153,48,781,TPA,HOU
02101319,4,810,TPA,IAD
02102058,-7,810,TPA,IAD
02101810,35,838,TPA,IND
02101212,-13,1034,TPA,ISP
02101646,-14,1034,TPA,ISP
02102351,66,1034,TPA,ISP
02100825,-10,180,TPA,JAX
02101850,75,180,TPA,JAX
02101254,-6,180,TPA,JAX
02101318,-22,1984,TPA,LAS
02102029,19,1048,TPA,MCI
02100001,71,997,TPA,MDW
02101810,30,997,TPA,MDW
02100940,-5,997,TPA,MDW
02101230,5,997,TPA,MDW
02101947,7,997,TPA,MDW
02101453,3,997,TPA,MDW
02102041,-4,1204,TPA,MHT
02101408,-22,1204,TPA,MHT
02102118,-22,487,TPA,MSY
02100742,-13,487,TPA,MSY
02101354,-11,487,TPA,MSY
02101253,-12,717,TPA,ORF
02101314,-6,174,TPA,PBI
02101658,-7,174,TPA,PBI
02102152,-3,174,TPA,PBI
02101357,-28,920,TPA,PHL
02101916,6,920,TPA,PHL
02102215,-5,920,TPA,PHL
02101608,-27,1788,TPA,PHX
03032047,35,635,SGF,DTW
030400NA,NA,635,SGF,DTW
03052020,8,635,SGF,DTW
03061959,-13,635,SGF,DTW
03072133,81,635,SGF,DTW
03082046,34,635,SGF,DTW
030900NA,NA,635,SGF,DTW
03101957,-15,635,SGF,DTW
03111958,-14,635,SGF,DTW
03122012,0,635,SGF,DTW
03132006,-6,635,SGF,DTW
03142010,-2,635,SGF,DTW
03152024,12,635,SGF,DTW
03162004,-8,635,SGF,DTW
03172030,18,635,SGF,DTW
03182025,13,635,SGF,DTW
04221619,-16,416,RDU,SDF
04231651,16,416,RDU,SDF
04241620,-15,416,RDU,SDF
04251629,-6,416,RDU,SDF
04271624,-11,416,RDU,SDF
04281701,26,416,RDU,SDF
04291622,-13,416,RDU,SDF
04301636,1,416,RDU,SDF
04010743,-12,640,CMH,BOS
04020735,-20,640,CMH,BOS
04030734,-21,640,CMH,BOS
04040740,-15,640,CMH,BOS
05062025,-27,2296,SFO,CLT
05061021,-5,414,SFO,LAS
05061703,-12,414,SFO,LAS
05061339,9,414,SFO,LAS
05061457,-7,414,SFO,LAS
05061503,-23,2521,SFO,PHL
05061913,-3,2521,SFO,PHL
05062108,-43,2521,SFO,PHL
05060607,-13,2521,SFO,PHL
05061729,-7,651,SFO,PHX
05060801,6,651,SFO,PHX
